,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
3789,22.0,male,Master,45612.0,0,RENT,10000.0,MEDICAL,11.01,0.22,3.0,657,No,1
3790,24.0,female,High School,54885.0,1,RENT,4000.0,EDUCATION,15.99,0.07,3.0,586,No,1
3791,24.0,male,Master,53726.0,3,MORTGAGE,25000.0,DEBTCONSOLIDATION,15.58,0.47,3.0,663,No,1
3792,21.0,female,Bachelor,50074.0,0,RENT,12000.0,MEDICAL,15.21,0.24,2.0,668,No,1
3793,23.0,female,High School,90594.0,0,RENT,20000.0,MEDICAL,17.04,0.22,3.0,703,No,1
3794,24.0,male,High School,52540.0,4,MORTGAGE,10000.0,DEBTCONSOLIDATION,16.89,0.19,4.0,642,No,1
3795,25.0,male,Bachelor,34689.0,4,RENT,7500.0,VENTURE,15.33,0.22,3.0,672,No,1
3796,24.0,male,Associate,54246.0,0,RENT,2000.0,PERSONAL,8.0,0.04,3.0,689,No,1
3797,23.0,male,High School,59620.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,15.21,0.08,3.0,646,No,1
3798,22.0,male,High School,65893.0,1,RENT,3200.0,HOMEIMPROVEMENT,16.49,0.05,2.0,612,No,1
3799,23.0,female,Master,89499.0,0,RENT,25000.0,MEDICAL,10.36,0.28,2.0,563,No,1
3800,25.0,male,Master,59960.0,2,RENT,12000.0,PERSONAL,13.49,0.2,4.0,674,No,1
3801,22.0,male,Bachelor,58451.0,2,RENT,16500.0,DEBTCONSOLIDATION,8.9,0.28,3.0,632,No,1
3802,24.0,female,Associate,118578.0,4,RENT,16000.0,VENTURE,16.32,0.13,4.0,672,No,1
3803,23.0,female,Associate,44385.0,4,RENT,15000.0,VENTURE,10.25,0.34,3.0,735,No,1
3804,24.0,female,Bachelor,76600.0,0,RENT,16800.0,MEDICAL,15.65,0.22,4.0,684,No,1
3805,25.0,male,High School,33600.0,3,RENT,5000.0,EDUCATION,7.9,0.15,3.0,543,No,1
3806,23.0,female,High School,65714.0,4,RENT,20000.0,VENTURE,11.83,0.3,2.0,615,No,1
3807,23.0,male,Master,15016.0,0,RENT,2100.0,EDUCATION,8.94,0.14,2.0,622,No,1
3808,23.0,male,Bachelor,73263.0,2,RENT,25000.0,DEBTCONSOLIDATION,10.25,0.34,2.0,693,No,1
3809,22.0,male,Associate,58217.0,0,RENT,13000.0,MEDICAL,7.88,0.22,2.0,653,No,1
3811,24.0,male,Bachelor,29600.0,1,RENT,7000.0,VENTURE,15.62,0.24,4.0,660,No,1
3812,22.0,male,Bachelor,111152.0,0,MORTGAGE,16800.0,MEDICAL,15.62,0.15,4.0,629,No,1
3813,23.0,female,High School,42805.0,0,MORTGAGE,5000.0,MEDICAL,12.98,0.12,2.0,585,No,1
3814,26.0,male,Master,67053.0,5,MORTGAGE,10000.0,PERSONAL,7.51,0.15,2.0,718,No,1
3815,21.0,male,High School,38108.0,0,RENT,6000.0,EDUCATION,16.89,0.16,4.0,574,No,1
3816,26.0,female,High School,63307.0,5,RENT,14000.0,EDUCATION,10.37,0.22,2.0,599,No,1
3817,23.0,male,Bachelor,85507.0,4,RENT,14000.0,MEDICAL,17.51,0.16,2.0,657,No,1
3818,24.0,male,High School,35293.0,1,RENT,8875.0,MEDICAL,11.01,0.25,4.0,598,No,1
3819,25.0,female,Bachelor,65772.0,2,RENT,7000.0,DEBTCONSOLIDATION,15.62,0.11,3.0,691,No,1
3820,23.0,female,Bachelor,41762.0,5,RENT,9500.0,PERSONAL,11.01,0.23,4.0,584,No,1
3821,22.0,female,Associate,42303.0,1,RENT,1200.0,HOMEIMPROVEMENT,19.29,0.03,2.0,661,No,1
3822,25.0,male,High School,89805.0,6,RENT,20000.0,VENTURE,15.95,0.22,3.0,656,No,1
3823,25.0,female,Associate,44357.0,1,RENT,15000.0,PERSONAL,11.01,0.34,3.0,582,No,1
3824,23.0,male,Master,44071.0,0,RENT,6500.0,MEDICAL,17.49,0.15,4.0,659,No,1
3825,22.0,female,Bachelor,22628.0,2,OWN,5400.0,EDUCATION,15.31,0.24,4.0,678,No,1
3826,25.0,female,Bachelor,63540.0,6,RENT,16000.0,VENTURE,13.98,0.25,4.0,633,No,1
3827,23.0,male,Associate,56268.0,3,RENT,12800.0,PERSONAL,19.41,0.23,2.0,602,No,1
3828,26.0,female,Bachelor,18378.0,0,RENT,2000.0,DEBTCONSOLIDATION,17.49,0.11,3.0,684,No,1
3829,24.0,female,High School,112528.0,0,RENT,2100.0,HOMEIMPROVEMENT,9.91,0.02,2.0,646,No,1
3830,24.0,male,High School,53912.0,3,MORTGAGE,22800.0,DEBTCONSOLIDATION,17.27,0.42,3.0,606,No,1
3831,25.0,male,Master,70383.0,4,RENT,6000.0,EDUCATION,11.28,0.09,3.0,678,No,1
3832,22.0,female,High School,51403.0,0,RENT,6600.0,PERSONAL,16.89,0.13,3.0,632,No,1
3833,23.0,male,High School,70835.0,3,MORTGAGE,7200.0,MEDICAL,11.97,0.1,2.0,633,No,1
3834,23.0,male,Bachelor,81255.0,3,RENT,25000.0,EDUCATION,7.9,0.31,3.0,647,No,1
3835,24.0,female,Bachelor,29814.0,2,RENT,3500.0,EDUCATION,15.65,0.12,4.0,680,No,1
3836,22.0,male,Bachelor,49646.0,0,RENT,6000.0,EDUCATION,11.36,0.12,4.0,674,No,1
3837,23.0,male,High School,77922.0,0,MORTGAGE,12000.0,DEBTCONSOLIDATION,15.62,0.15,4.0,647,No,1
3838,22.0,male,Associate,72093.0,2,OTHER,12000.0,HOMEIMPROVEMENT,11.01,0.17,4.0,601,No,1
3839,25.0,male,Bachelor,69368.0,3,RENT,9600.0,MEDICAL,14.46,0.14,3.0,589,No,1
3840,25.0,female,Bachelor,57436.0,4,RENT,21250.0,EDUCATION,10.99,0.37,2.0,549,No,1
3841,24.0,male,Bachelor,49050.0,4,RENT,3000.0,PERSONAL,17.27,0.06,2.0,618,No,1
3842,22.0,female,Associate,23687.0,0,RENT,3200.0,PERSONAL,15.28,0.14,2.0,618,No,1
3843,23.0,male,Bachelor,46759.0,1,RENT,12000.0,PERSONAL,11.71,0.26,4.0,687,No,1
3844,26.0,male,Master,15419.0,4,OWN,6100.0,HOMEIMPROVEMENT,7.51,0.4,4.0,631,No,1
3845,22.0,female,Bachelor,15436.0,2,RENT,1000.0,EDUCATION,13.57,0.06,2.0,698,No,1
3846,22.0,male,Bachelor,38532.0,0,RENT,12000.0,EDUCATION,10.39,0.31,2.0,642,No,1
3847,22.0,female,Master,83510.0,0,MORTGAGE,10000.0,DEBTCONSOLIDATION,15.62,0.12,3.0,654,No,1
3848,23.0,female,Bachelor,49151.0,0,RENT,15000.0,EDUCATION,11.71,0.31,3.0,667,No,1
3849,23.0,male,Bachelor,66513.0,2,RENT,20000.0,VENTURE,12.53,0.3,3.0,630,No,1
3850,23.0,male,Bachelor,30165.0,0,RENT,12250.0,EDUCATION,13.16,0.41,3.0,686,No,1
3851,23.0,female,Bachelor,66428.0,0,RENT,19000.0,EDUCATION,11.14,0.29,4.0,673,No,1
3852,24.0,female,Bachelor,166610.0,3,RENT,5000.0,PERSONAL,13.23,0.03,4.0,678,No,1
3853,23.0,male,Associate,47997.0,0,RENT,12000.0,PERSONAL,10.99,0.25,2.0,543,No,1
3854,25.0,female,Bachelor,36763.0,3,MORTGAGE,12000.0,HOMEIMPROVEMENT,5.99,0.33,4.0,655,No,1
3855,22.0,female,High School,36619.0,0,RENT,8000.0,MEDICAL,14.42,0.22,3.0,540,No,1
3856,23.0,male,Bachelor,47666.0,0,RENT,10000.0,HOMEIMPROVEMENT,15.2,0.21,4.0,706,No,1
3857,24.0,male,Bachelor,35713.0,4,RENT,4000.0,MEDICAL,9.96,0.11,3.0,657,No,1
3858,22.0,male,Master,38536.0,0,RENT,10000.0,DEBTCONSOLIDATION,12.73,0.26,2.0,653,No,1
3859,21.0,female,High School,15285.0,0,MORTGAGE,3250.0,DEBTCONSOLIDATION,15.68,0.21,2.0,707,No,1
3860,22.0,female,Bachelor,55813.0,0,RENT,2500.0,VENTURE,18.64,0.04,4.0,674,No,1
3861,21.0,female,Bachelor,23028.0,0,RENT,3500.0,MEDICAL,13.35,0.15,3.0,645,No,1
3862,23.0,female,Associate,91040.0,4,MORTGAGE,15000.0,MEDICAL,16.0,0.16,2.0,621,No,1
3863,26.0,male,Doctorate,68340.0,3,RENT,10000.0,DEBTCONSOLIDATION,12.69,0.15,4.0,663,No,1
3864,23.0,female,Master,44203.0,0,RENT,4000.0,PERSONAL,10.99,0.09,3.0,616,No,1
3865,24.0,male,Associate,59943.0,0,RENT,7000.0,EDUCATION,7.49,0.12,4.0,663,No,1
3866,24.0,male,Associate,29814.0,1,RENT,8500.0,MEDICAL,7.9,0.29,2.0,606,No,1
3867,22.0,male,High School,58303.0,0,RENT,15000.0,VENTURE,9.63,0.26,4.0,610,No,1
3868,22.0,male,Master,65976.0,0,RENT,9975.0,EDUCATION,11.48,0.15,4.0,557,No,1
3869,22.0,male,High School,36852.0,0,RENT,13000.0,EDUCATION,13.11,0.35,3.0,663,No,1
3870,23.0,male,Bachelor,33230.0,0,RENT,9000.0,EDUCATION,7.51,0.27,2.0,694,No,1
3871,25.0,female,Bachelor,56229.0,5,RENT,5000.0,VENTURE,11.01,0.09,2.0,646,No,1
3872,23.0,male,Associate,23727.0,5,RENT,3000.0,PERSONAL,9.99,0.13,2.0,700,No,1
3873,26.0,male,Master,71800.0,1,RENT,6000.0,MEDICAL,16.49,0.08,2.0,553,No,1
3874,25.0,female,Associate,35912.0,4,RENT,4000.0,MEDICAL,16.29,0.11,4.0,631,No,1
3875,22.0,male,Associate,55906.0,1,RENT,6200.0,DEBTCONSOLIDATION,11.01,0.11,3.0,625,No,1
3876,23.0,male,Master,37161.0,1,RENT,10625.0,EDUCATION,6.92,0.29,4.0,599,No,1
3877,23.0,female,Bachelor,166609.0,1,RENT,5000.0,EDUCATION,14.91,0.03,2.0,639,No,1
3878,22.0,female,Associate,45123.0,0,RENT,15000.0,PERSONAL,10.25,0.33,4.0,598,No,1
3879,23.0,male,Bachelor,40914.0,0,RENT,5500.0,MEDICAL,14.54,0.13,2.0,629,No,1
3880,26.0,male,High School,57199.0,2,RENT,15000.0,PERSONAL,7.9,0.26,3.0,586,No,1
3881,26.0,male,High School,62488.0,3,RENT,5000.0,PERSONAL,12.42,0.08,2.0,633,No,1
3882,22.0,male,Bachelor,42450.0,1,RENT,7500.0,DEBTCONSOLIDATION,15.05,0.18,2.0,682,No,1
3883,24.0,female,Bachelor,37726.0,1,RENT,6800.0,PERSONAL,20.0,0.18,4.0,592,No,1
3884,25.0,male,High School,72958.0,5,RENT,20000.0,EDUCATION,11.01,0.27,4.0,658,No,1
3886,25.0,male,Bachelor,54193.0,0,RENT,15000.0,EDUCATION,14.59,0.28,3.0,675,No,1
3887,22.0,female,Bachelor,20396.0,0,RENT,4000.0,DEBTCONSOLIDATION,13.35,0.2,2.0,656,No,1
3888,24.0,male,Associate,66938.0,0,RENT,23600.0,HOMEIMPROVEMENT,11.89,0.35,4.0,668,No,1
3889,23.0,female,Bachelor,36984.0,1,RENT,10300.0,PERSONAL,8.94,0.28,2.0,649,No,1
3890,25.0,male,Associate,39255.0,1,RENT,6000.0,MEDICAL,12.92,0.15,2.0,611,No,1
3891,24.0,female,Bachelor,88950.0,1,RENT,27000.0,EDUCATION,11.01,0.3,2.0,672,No,1
3892,26.0,female,Bachelor,46140.0,4,RENT,2000.0,MEDICAL,14.96,0.04,2.0,536,No,1
3893,26.0,male,Bachelor,42923.0,3,RENT,12000.0,VENTURE,10.91,0.28,3.0,645,No,1
3894,24.0,male,Associate,85123.0,1,RENT,25000.0,PERSONAL,11.86,0.29,2.0,608,No,1
3895,25.0,male,High School,36954.0,3,RENT,5200.0,VENTURE,17.19,0.14,2.0,597,No,1
3896,22.0,male,Associate,46593.0,0,RENT,18500.0,EDUCATION,7.66,0.4,2.0,598,No,1
3897,24.0,female,Associate,62783.0,5,RENT,20000.0,DEBTCONSOLIDATION,12.21,0.32,4.0,640,No,1
3898,25.0,male,High School,72094.0,0,MORTGAGE,5000.0,DEBTCONSOLIDATION,6.03,0.07,3.0,549,No,1
3900,25.0,male,High School,59997.0,2,MORTGAGE,5000.0,MEDICAL,9.88,0.08,2.0,614,No,1
3901,21.0,male,Master,38841.0,0,RENT,15000.0,VENTURE,12.61,0.39,2.0,561,No,1
3902,21.0,male,High School,26833.0,0,RENT,2000.0,MEDICAL,11.71,0.07,4.0,673,No,1
3903,22.0,male,Bachelor,16301.0,0,OWN,4750.0,VENTURE,11.01,0.29,2.0,640,No,1
3904,24.0,male,High School,49187.0,0,RENT,5000.0,EDUCATION,14.11,0.1,2.0,584,No,1
3905,25.0,male,Bachelor,71756.0,4,RENT,20000.0,HOMEIMPROVEMENT,14.84,0.28,4.0,684,No,1
3907,24.0,male,Associate,36883.0,2,RENT,5000.0,EDUCATION,12.69,0.14,2.0,629,No,1
3908,23.0,male,Associate,20393.0,0,RENT,3000.0,EDUCATION,16.29,0.15,2.0,646,No,1
3909,23.0,female,Bachelor,92495.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,11.01,0.1,3.0,634,No,1
3910,24.0,male,Bachelor,164322.0,6,MORTGAGE,25000.0,DEBTCONSOLIDATION,19.13,0.15,3.0,628,No,1
3911,26.0,male,Bachelor,35704.0,1,RENT,15000.0,MEDICAL,10.0,0.42,3.0,609,No,1
3912,22.0,female,Bachelor,53840.0,2,RENT,3600.0,HOMEIMPROVEMENT,13.43,0.07,3.0,662,No,1
3913,26.0,female,Bachelor,116217.0,2,MORTGAGE,24000.0,MEDICAL,15.28,0.21,2.0,670,No,1
3914,26.0,male,Associate,41744.0,5,RENT,10800.0,MEDICAL,11.12,0.26,3.0,689,No,1
3915,23.0,male,High School,64831.0,2,RENT,17500.0,MEDICAL,6.54,0.27,4.0,636,No,1
3916,23.0,male,Associate,18164.0,0,RENT,4000.0,DEBTCONSOLIDATION,10.74,0.22,3.0,591,No,1
3917,22.0,male,High School,38747.0,1,RENT,2900.0,DEBTCONSOLIDATION,11.01,0.07,3.0,635,No,1
3918,23.0,male,Bachelor,36697.0,1,RENT,19750.0,VENTURE,11.14,0.54,4.0,660,No,1
3919,21.0,female,High School,15548.0,1,RENT,3000.0,PERSONAL,8.9,0.19,3.0,656,No,1
3920,23.0,male,Master,24035.0,3,MORTGAGE,3000.0,DEBTCONSOLIDATION,11.01,0.12,3.0,658,No,1
3921,22.0,male,Master,42024.0,1,RENT,3800.0,MEDICAL,18.25,0.09,3.0,576,No,1
3922,21.0,male,High School,67952.0,0,RENT,15000.0,HOMEIMPROVEMENT,16.0,0.22,4.0,569,No,1
3923,23.0,male,Master,72056.0,2,RENT,20000.0,EDUCATION,12.29,0.28,2.0,682,No,1
3924,25.0,male,High School,38922.0,4,RENT,14850.0,DEBTCONSOLIDATION,8.9,0.38,3.0,680,No,1
3925,22.0,male,Associate,45509.0,0,RENT,7000.0,HOMEIMPROVEMENT,7.9,0.15,2.0,584,No,1
3926,25.0,male,High School,35928.0,3,RENT,1000.0,MEDICAL,11.99,0.03,2.0,618,No,1
3927,24.0,male,Bachelor,42919.0,4,RENT,12000.0,DEBTCONSOLIDATION,6.54,0.28,2.0,658,No,1
3928,23.0,male,Bachelor,51229.0,0,RENT,5000.0,VENTURE,11.01,0.1,3.0,577,No,1
3929,21.0,female,Bachelor,85890.0,0,MORTGAGE,10000.0,MEDICAL,15.28,0.12,3.0,666,No,1
3930,25.0,female,High School,77546.0,2,RENT,20000.0,DEBTCONSOLIDATION,11.01,0.26,4.0,611,No,1
3932,25.0,male,Master,25059.0,3,RENT,12000.0,MEDICAL,8.07,0.48,2.0,694,No,1
3934,23.0,female,Associate,29660.0,3,MORTGAGE,1375.0,MEDICAL,11.11,0.05,3.0,678,No,1
3935,22.0,male,Bachelor,74528.0,0,MORTGAGE,16000.0,MEDICAL,16.45,0.21,4.0,611,No,1
3937,23.0,female,Bachelor,90750.0,2,MORTGAGE,8400.0,MEDICAL,14.65,0.09,4.0,580,No,1
3938,24.0,female,High School,69659.0,0,MORTGAGE,20000.0,MEDICAL,19.13,0.29,3.0,637,No,1
3939,23.0,male,Bachelor,19468.0,0,RENT,4500.0,VENTURE,5.99,0.23,3.0,632,No,1
3940,25.0,male,High School,94721.0,6,MORTGAGE,8000.0,DEBTCONSOLIDATION,16.0,0.08,4.0,661,No,1
3941,25.0,male,Master,59689.0,4,RENT,10000.0,DEBTCONSOLIDATION,6.62,0.17,2.0,682,No,1
3942,23.0,female,High School,41342.0,0,RENT,2500.0,MEDICAL,15.68,0.06,4.0,625,No,1
3943,22.0,male,High School,69688.0,0,RENT,16000.0,EDUCATION,17.15,0.23,2.0,638,No,1
3944,21.0,male,High School,44014.0,0,RENT,4500.0,MEDICAL,17.27,0.1,4.0,616,No,1
3945,23.0,male,Associate,81580.0,0,MORTGAGE,10000.0,MEDICAL,16.32,0.12,2.0,593,No,1
3946,24.0,male,Master,55129.0,0,MORTGAGE,10625.0,EDUCATION,14.27,0.19,4.0,574,No,1
3947,21.0,male,Bachelor,22700.0,0,RENT,1500.0,MEDICAL,12.18,0.07,3.0,597,No,1
3949,21.0,female,High School,30927.0,0,RENT,5000.0,MEDICAL,16.45,0.16,4.0,681,No,1
3950,22.0,female,Associate,53638.0,0,MORTGAGE,9000.0,EDUCATION,14.11,0.17,4.0,692,No,1
3951,24.0,male,Master,106649.0,3,MORTGAGE,25000.0,DEBTCONSOLIDATION,18.84,0.23,2.0,619,No,1
3952,26.0,female,Bachelor,85126.0,0,RENT,22500.0,EDUCATION,18.99,0.26,4.0,655,No,1
3953,26.0,female,Bachelor,45287.0,4,RENT,14000.0,PERSONAL,9.88,0.31,2.0,647,No,1
3954,24.0,female,Master,55214.0,5,RENT,6000.0,EDUCATION,17.19,0.11,3.0,624,No,1
3955,23.0,female,Bachelor,65567.0,0,RENT,4500.0,MEDICAL,11.01,0.07,3.0,601,No,1
3956,25.0,male,Master,68162.0,1,RENT,12000.0,MEDICAL,14.11,0.18,2.0,570,No,1
3957,24.0,male,Master,10951.0,0,RENT,1500.0,EDUCATION,13.99,0.14,4.0,693,No,1
3958,23.0,male,High School,101296.0,0,RENT,15000.0,PERSONAL,8.49,0.15,3.0,630,No,1
3959,21.0,male,Bachelor,53907.0,0,RENT,7000.0,EDUCATION,11.46,0.13,2.0,661,No,1
3960,23.0,male,Associate,76613.0,4,RENT,16000.0,VENTURE,14.42,0.21,2.0,646,No,1
3961,25.0,male,Bachelor,59628.0,5,OTHER,19500.0,PERSONAL,15.57,0.33,3.0,687,No,1
3962,21.0,male,High School,51376.0,0,RENT,1000.0,VENTURE,15.58,0.02,4.0,660,No,1
3963,25.0,male,High School,59838.0,1,RENT,9600.0,EDUCATION,7.51,0.16,4.0,668,No,1
3964,26.0,female,Associate,62605.0,1,RENT,5000.0,EDUCATION,8.94,0.08,2.0,628,No,1
3965,22.0,male,High School,38442.0,0,RENT,5550.0,PERSONAL,11.36,0.14,3.0,590,No,1
3966,24.0,male,High School,77058.0,3,MORTGAGE,20000.0,MEDICAL,17.51,0.26,4.0,634,No,1
3967,22.0,male,Associate,26315.0,0,RENT,8000.0,DEBTCONSOLIDATION,16.77,0.3,4.0,667,No,1
3968,24.0,female,High School,15320.0,0,OWN,2500.0,PERSONAL,12.69,0.16,4.0,596,No,1
3970,24.0,male,Bachelor,85655.0,2,RENT,9000.0,MEDICAL,15.05,0.11,2.0,686,No,1
3971,26.0,male,Associate,62332.0,4,MORTGAGE,13000.0,DEBTCONSOLIDATION,15.33,0.21,2.0,622,No,1
3972,26.0,female,Bachelor,41633.0,2,RENT,13000.0,PERSONAL,13.57,0.31,2.0,682,No,1
3973,26.0,male,Associate,65448.0,3,MORTGAGE,8500.0,MEDICAL,5.42,0.13,3.0,702,No,1
3974,22.0,female,Master,129241.0,2,MORTGAGE,24000.0,HOMEIMPROVEMENT,19.69,0.19,4.0,608,No,1
3975,24.0,female,High School,26590.0,2,RENT,10000.0,EDUCATION,9.91,0.38,3.0,576,No,1
3976,26.0,female,Associate,71424.0,2,RENT,20000.0,EDUCATION,11.01,0.28,2.0,681,No,1
3977,26.0,female,Bachelor,101908.0,1,RENT,15000.0,DEBTCONSOLIDATION,16.0,0.15,2.0,591,No,1
3978,23.0,female,High School,131204.0,0,RENT,35000.0,HOMEIMPROVEMENT,20.0,0.27,2.0,624,No,1
3979,26.0,male,Bachelor,58692.0,2,RENT,15000.0,EDUCATION,18.64,0.26,3.0,672,No,1
3980,25.0,male,High School,42077.0,2,RENT,20000.0,DEBTCONSOLIDATION,8.88,0.48,2.0,538,No,1
3981,25.0,male,Bachelor,83810.0,2,RENT,10000.0,DEBTCONSOLIDATION,14.09,0.12,2.0,625,No,1
3982,21.0,male,Bachelor,36757.0,1,RENT,5000.0,MEDICAL,14.96,0.14,4.0,596,No,1
3983,25.0,female,Bachelor,36019.0,4,RENT,2500.0,MEDICAL,12.84,0.07,4.0,711,No,1
3985,26.0,male,High School,30449.0,3,RENT,8875.0,EDUCATION,10.0,0.29,3.0,573,No,1
3987,21.0,male,Master,15447.0,0,RENT,2200.0,PERSONAL,11.01,0.14,4.0,656,No,1
3988,21.0,female,High School,36946.0,0,RENT,6000.0,VENTURE,13.16,0.16,4.0,584,No,1
3989,22.0,male,Associate,41086.0,0,RENT,13250.0,MEDICAL,11.01,0.32,3.0,553,No,1
3990,23.0,female,Master,24136.0,1,OWN,6000.0,HOMEIMPROVEMENT,6.54,0.25,4.0,617,No,1
3991,22.0,female,Associate,13712.0,1,RENT,3600.0,MEDICAL,12.23,0.26,3.0,635,No,1
3992,21.0,male,Bachelor,17495.0,1,RENT,4750.0,EDUCATION,12.73,0.27,2.0,632,No,1
3993,23.0,female,Associate,57054.0,1,RENT,6800.0,EDUCATION,10.65,0.12,4.0,678,No,1
3994,26.0,female,Associate,71440.0,4,RENT,12000.0,MEDICAL,11.01,0.17,4.0,672,No,1
3995,21.0,male,High School,23028.0,0,RENT,3000.0,DEBTCONSOLIDATION,7.9,0.13,2.0,645,No,1
3996,21.0,male,Master,22387.0,0,RENT,3200.0,VENTURE,8.49,0.14,2.0,631,No,1
3997,26.0,female,Master,82636.0,2,MORTGAGE,15000.0,MEDICAL,16.49,0.18,3.0,706,No,1
3998,24.0,female,Associate,55768.0,4,RENT,17000.0,PERSONAL,10.38,0.3,3.0,636,No,1
4000,23.0,male,High School,45598.0,0,MORTGAGE,3600.0,MEDICAL,15.62,0.08,4.0,626,No,1
4001,25.0,male,High School,93490.0,5,MORTGAGE,7200.0,DEBTCONSOLIDATION,18.53,0.08,2.0,540,No,1
4002,25.0,male,High School,77304.0,6,MORTGAGE,7000.0,DEBTCONSOLIDATION,11.49,0.09,4.0,630,No,1
4003,22.0,male,High School,23794.0,0,MORTGAGE,5000.0,EDUCATION,15.33,0.21,2.0,572,No,1
4005,25.0,male,Bachelor,41971.0,4,RENT,10000.0,EDUCATION,13.79,0.24,2.0,625,No,1
4006,24.0,male,Master,36932.0,0,RENT,10000.0,PERSONAL,19.29,0.27,3.0,658,No,1
4007,24.0,male,Bachelor,56216.0,2,RENT,5975.0,PERSONAL,14.46,0.11,4.0,657,No,1
4008,22.0,female,High School,47887.0,0,MORTGAGE,7000.0,EDUCATION,8.94,0.15,3.0,640,No,1
4009,22.0,female,Associate,68023.0,0,RENT,18250.0,EDUCATION,16.7,0.27,3.0,640,No,1
4010,22.0,male,Bachelor,23782.0,0,OWN,12000.0,VENTURE,5.42,0.5,2.0,635,No,1
4012,24.0,female,Associate,68296.0,2,MORTGAGE,20000.0,DEBTCONSOLIDATION,16.7,0.29,4.0,693,No,1
4013,22.0,male,High School,31077.0,0,RENT,7500.0,DEBTCONSOLIDATION,14.96,0.24,3.0,625,No,1
4014,25.0,female,High School,120722.0,7,RENT,21000.0,HOMEIMPROVEMENT,16.49,0.17,3.0,686,No,1
4015,22.0,female,High School,43236.0,0,RENT,6500.0,EDUCATION,15.95,0.15,3.0,635,No,1
4016,23.0,male,Bachelor,41259.0,0,RENT,9000.0,MEDICAL,11.01,0.22,4.0,638,No,1
4017,23.0,female,Bachelor,22541.0,0,RENT,4000.0,DEBTCONSOLIDATION,10.99,0.18,3.0,604,No,1
4018,25.0,female,Bachelor,85017.0,3,RENT,25000.0,EDUCATION,15.21,0.29,4.0,671,No,1
4019,23.0,male,High School,69980.0,0,MORTGAGE,25000.0,MEDICAL,13.49,0.36,3.0,611,No,1
4020,21.0,male,Bachelor,27615.0,0,RENT,2500.0,DEBTCONSOLIDATION,16.29,0.09,2.0,650,No,1
4021,22.0,male,High School,28173.0,0,RENT,7500.0,DEBTCONSOLIDATION,9.76,0.27,3.0,623,No,1
4022,22.0,female,Master,40864.0,2,MORTGAGE,5325.0,DEBTCONSOLIDATION,14.59,0.13,4.0,575,No,1
4023,24.0,female,Associate,22084.0,4,RENT,3000.0,EDUCATION,15.27,0.14,2.0,612,No,1
4024,26.0,female,High School,83371.0,4,MORTGAGE,6200.0,DEBTCONSOLIDATION,15.99,0.07,3.0,657,No,1
4025,22.0,male,Associate,16648.0,0,RENT,2500.0,HOMEIMPROVEMENT,9.91,0.15,3.0,657,No,1
4026,25.0,male,Master,41827.0,7,MORTGAGE,15450.0,MEDICAL,11.22,0.37,4.0,640,No,1
4028,25.0,female,Bachelor,57023.0,2,RENT,12000.0,EDUCATION,13.11,0.21,4.0,570,No,1
4029,23.0,female,Bachelor,130922.0,0,RENT,10000.0,DEBTCONSOLIDATION,11.01,0.08,3.0,624,No,1
4030,25.0,male,Master,94448.0,0,MORTGAGE,9000.0,DEBTCONSOLIDATION,11.78,0.1,3.0,644,No,1
4031,22.0,male,High School,24389.0,0,RENT,7750.0,MEDICAL,14.83,0.32,4.0,686,No,1
4032,23.0,male,High School,53031.0,0,RENT,9100.0,EDUCATION,13.24,0.17,3.0,543,No,1
4033,26.0,male,Bachelor,56555.0,0,MORTGAGE,7000.0,DEBTCONSOLIDATION,9.99,0.12,4.0,679,No,1
4035,21.0,male,High School,31866.0,0,RENT,7750.0,EDUCATION,16.7,0.24,3.0,544,No,1
4036,24.0,male,Associate,38624.0,4,RENT,13500.0,VENTURE,13.43,0.35,4.0,557,No,1
4037,21.0,female,High School,35635.0,0,RENT,11000.0,PERSONAL,14.22,0.31,4.0,590,No,1
4038,24.0,female,High School,32772.0,1,RENT,8875.0,EDUCATION,6.62,0.27,3.0,581,No,1
4039,25.0,male,Bachelor,76036.0,2,RENT,12000.0,DEBTCONSOLIDATION,16.77,0.16,4.0,680,No,1
4040,23.0,male,Master,82522.0,0,RENT,14400.0,VENTURE,17.99,0.17,2.0,652,No,1
4041,23.0,male,Master,83836.0,0,MORTGAGE,15000.0,HOMEIMPROVEMENT,14.96,0.18,4.0,628,No,1
4042,24.0,male,High School,112727.0,2,MORTGAGE,12000.0,DEBTCONSOLIDATION,16.29,0.11,3.0,612,No,1
4043,25.0,female,Associate,35911.0,2,RENT,3000.0,EDUCATION,6.62,0.08,4.0,573,No,1
4044,23.0,female,Bachelor,87553.0,0,RENT,30000.0,MEDICAL,10.65,0.34,2.0,688,No,1
4045,22.0,male,High School,39951.0,0,RENT,12000.0,VENTURE,11.49,0.3,3.0,533,No,1
4046,25.0,male,High School,54169.0,2,MORTGAGE,7500.0,EDUCATION,10.08,0.14,4.0,664,No,1
4047,22.0,female,High School,23747.0,0,RENT,3000.0,DEBTCONSOLIDATION,11.01,0.13,2.0,570,No,1
4048,25.0,female,Bachelor,80269.0,2,RENT,25000.0,EDUCATION,15.33,0.31,2.0,661,No,1
